title;price;seller;ram;memory
BQ BQ-1848 Step+ Black-Red;4020;ID Proftech;null;32Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Vintage Bronze;144990;Technosale;8 Гб;128Гб
Apple iPhone 7 Plus 256Gb Black;629090;Fast Technology;3 Гб;256Гб
BQ BQ-1848 Step+ Black-Red;4190;ТОО Flexcom;null;32Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray;99900;mobitron;6 Гб;64Гб
Xiaomi Redmi Note 8 Pro 6/64Gb Green;93500;mobitron;6 Гб;64Гб
Xiaomi Poco X3 Pro 6/128Gb Phantom Black;124049;Great Choice;6 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Silver;472900;M-TELL;6 Гб;128Гб
Xiaomi Redmi 9 4/64Gb Carbon Gray;56475;Eva Phone;4 Гб;64Гб
Apple iPhone 11 64Gb Purple;281650;AllBest.kz;4 Гб;64Гб
Samsung Galaxy A52 4/128Gb Awesome Black;140000;Technosale;4 Гб;128Гб
Gionee S8s Gold;47900;Белый Ветер;3 Гб;32Гб
Meizu M10 3/32Gb Black;45900;Белый Ветер;3 Гб;32Гб
Gionee M6 Mini Black;28900;Белый Ветер;1 Гб;16Гб
Apple iPhone 11 128Gb;294000;Продавец Zhanna_16;4 Гб;128Гб
