title;price;seller;ram;memory
Samsung Galaxy A12 3/32Gb Black;58895;RM-Smart.Technology;3 Гб;32Гб
Samsung Galaxy A02s 3/32Gb Black;44379;RM-Smart.Technology;3 Гб;32Гб
Apple iPhone 12 Pro 128Gb;430980;RM-Smart.Technology;null;128Гб
Apple iPhone 12 Pro 256Gb;468899;RM-Smart.Technology;null;256Гб
Apple iPhone 12 256Gb;433470;RM-Smart.Technology;null;256Гб
Apple iPhone 12 128Gb;373899;RM-Smart.Technology;null;128Гб
Xiaomi Poco X3 Pro 6/128Gb Frost Blue;124055;Kansha.kz;6 Гб;128Гб
Samsung Galaxy S21 5G 8/128Gb Phantom Gray;274955;Kansha.kz;8 Гб;128Гб
OnePlus 8T 12/256Gb Lunar Silver;240795;Kansha.kz;12 Гб;256Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Vintage Bronze;132990;iMobi;8 Гб;128Гб
Samsung Galaxy A72 8/256Gb Awesome Black;189980;Eva Phone;8 Гб;256Гб
Samsung Galaxy A72 6/128Gb Awesome Black;164975;Eva Phone;6 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;134990;iMobi;8 Гб;128Гб
Samsung Galaxy A52 4/128Gb Awesome Black;134985;Eva Phone;4 Гб;128Гб
BQ BQ-1848 Step+ Black-Blue;4020;ID Proftech;null;32Гб
