title;price;seller;ram;memory
Samsung Galaxy A52 4/128Gb;134984;Great Choice;4 Гб;128Гб
Samsung Galaxy A72 6/128Gb;164970;Great Choice;6 Гб;128Гб
Samsung Galaxy S21 5G 12/256Gb Phantom Gray;304959;Great Choice;12 Гб;256Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Black;414950;Great Choice;12 Гб;256Гб
Samsung Galaxy S20 FE 6/128Gb Cloud Red;193730;Great Choice;6 Гб;128Гб
Apple iPhone 12 128Gb Black;373879;Great Choice;6 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Glacier Blue;132955;Great Choice;8 Гб;128Гб
Apple iPhone 12 64Gb Black;339779;Great Choice;6 Гб;64Гб
Apple iPhone 11 64Gb;267369;Kansha.kz;3 Гб;64Гб
Apple iPhone 12 Pro Max 128Gb;472880;Kansha.kz;6 Гб;128Гб
Apple iPhone 12 Pro 128Gb;430852;Kansha.kz;6 Гб;128Гб
Apple iPhone 12 Pro 256Gb;468785;Kansha.kz;6 Гб;256Гб
Apple iPhone 12 Mini 128Gb;335990;Kansha.kz;6 Гб;128Гб
Apple iPhone 12 Pro Max 256Gb;513870;Kansha.kz;6 Гб;256Гб
Apple iPhone 12 128Gb;373868;Kansha.kz;6 Гб;128Гб
