title;price;seller;ram;memory
OnePlus Nord 12/256Gb Gray Onyx;180600;AllBest.kz;12 Гб;256Гб
Xiaomi Mi 10 Lite 5G 6/128Gb Cosmic Gray;122550;AllBest.kz;6 Гб;128Гб
Samsung Galaxy S10 Lite 6/128Gb Prism Black;180600;AllBest.kz;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Silver;365500;AllBest.kz;12 Гб;128Гб
Apple iPhone 6S 32Gb Space Gray;86000;AllBest.kz;2 Гб;16Гб
Apple iPhone 11 Pro 64Gb Silver;344000;AllBest.kz;6 Гб;64Гб
Google PIXEL 4a 128GB 5G Black;236500;AllBest.kz;null;null
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Black;365500;AllBest.kz;12 Гб;128Гб
Meizu M10 3/32Gb Black;48038;Оптовый интернет магазин TOPSTO;3 Гб;32Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;132969;Tsmart.kz;8 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;125458;RM-Smart.Technology;6 Гб;128Гб
Samsung Galaxy M51 8/128Gb Black;160000;avva;8 Гб;128Гб
Samsung Galaxy A72 8/256Gb Awesome White;190000;Technosale;8 Гб;256Гб
Meizu 16 6/64Gb Violet;98490;TechPlaza;6 Гб;64Гб
Samsung Galaxy A52 4/128Gb Awesome White;140000;Technosale;4 Гб;128Гб
