title;price;seller;ram;memory
Xiaomi Redmi Note 10 6/64Gb Frost White;75500;LuckyPhone.kz;6 Гб;64Гб
Xiaomi Redmi Note 10 4/128Gb Aqua green;78500;LuckyPhone.kz;4 Гб;128Гб
Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue;101460;RM-Smart.Technology;6 Гб;128Гб
Apple iPhone 12 Pro 256Gb Graphite;468800;millennium-phone;6 Гб;256Гб
Apple iPhone 12 Mini 128Gb Blue;336000;millennium-phone;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Black;414500;millennium-phone;12 Гб;256Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Silver;414500;millennium-phone;12 Гб;256Гб
OnePlus 8 8/128Gb Glacial Green;210659;RM-Smart.Technology;8 Гб;128Гб
Xiaomi Mi 11 Lite 8/128Gb Bubblegum Blue;134970;Great Choice;8 Гб;128Гб
Samsung Galaxy S10 Lite 6/128Gb Prism White;169899;Great Choice;6 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;125460;Great Choice;6 Гб;128Гб
Xiaomi Poco X3 Pro 6/128Gb Frost Blue;124049;Great Choice;6 Гб;128Гб
Xiaomi Poco X3 Pro 8/256Gb Phantom Black;138884;Great Choice;8 Гб;256Гб
Samsung Galaxy A52 8/256Gb;155974;Great Choice;8 Гб;256Гб
Samsung Galaxy A72 8/256Gb;189978;Great Choice;8 Гб;256Гб
