title;price;seller;ram;memory
Apple iPhone 12 Pro 256Gb Pacific Blue;468799;Tsmart.kz;6 Гб;256Гб
Apple iPhone 12 Pro Max 128Gb Graphite;472894;Tsmart.kz;6 Гб;128Гб
Apple iPhone 12 Mini 128Gb Blue;336445;ABC-Mobile;6 Гб;128Гб
Apple iPhone 12 128Gb Black;373900;M-TELL;6 Гб;128Гб
Samsung Galaxy S20 FE 6/128Gb Cloud Mint;193730;RM-Smart.Technology;6 Гб;128Гб
Samsung Galaxy A52 4/128Gb Awesome White;134989;RM-Smart.Technology;4 Гб;128Гб
Samsung Galaxy A32 5G 4/128Gb Awesome Black;98998;RM-Smart.Technology;4 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Pacific Blue;472899;RM-Smart.Technology;6 Гб;128Гб
Apple iPhone 12 128Gb White;373985;Eva Phone;6 Гб;128Гб
Apple iPhone 12 128Gb Black;373995;ABC-Mobile;6 Гб;128Гб
Samsung Galaxy A52 4/128Gb;137444;Kansha.kz;4 Гб;128Гб
Oppo Reno4 Lite 8/128Gb Magic Blue;138967;Fast Technology;8 Гб;128Гб
Xiaomi Redmi Note 8 Pro 6/128Gb Red;115229;Fast Technology;6 Гб;128Гб
Apple iPhone 11 128Gb Red;287450;Kansha.kz;4 Гб;128Гб
Apple iPhone 12 128Gb White;373987;Kansha.kz;6 Гб;128Гб
