title;price;seller;ram;memory
Samsung Galaxy Note10 Plus 12/256Gb Aura Black;292000;Elit Tel;12 Гб;256Гб
Apple iPhone 12 Pro Max 256Gb Graphite;520000;Elit Tel;6 Гб;256Гб
Apple iPhone 11 Pro 64Gb Midnight Green;353000;millennium-phone;6 Гб;64Гб
Apple iPhone 8 64Gb Space Gray;190952;IT Products;2 Гб;64Гб
Samsung Galaxy S10 Lite 6/128Gb Prism Black;171990;Продавец Janara89;6 Гб;128Гб
Xiaomi Redmi Note 9 3/64Gb Midnight Grey;64489;Kansha.kz;3 Гб;64Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Silver;400955;Kansha.kz;12 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Gold;472894;Tsmart.kz;6 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Silver;472880;Kansha.kz;6 Гб;128Гб
Apple iPhone 11 128Gb Yellow;287400;M-TELL;4 Гб;128Гб
Apple iPhone 12 Pro Max 256Gb Silver;514389;RM-Smart.Technology;6 Гб;256Гб
Xiaomi Redmi 9T 4/128Gb Twilight Blue;71475;Eva Phone;4 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Pacific Blue;472865;ABC-Mobile;6 Гб;128Гб
Apple iPhone 11 128Gb Black;287369;Kansha.kz;4 Гб;128Гб
Meizu M10 2/32Gb Purplish Red;50990;TechPlaza;2 Гб;32Гб
