title;price;seller;ram;memory
Xiaomi Redmi Note 10 Pro 6/128Gb Onyx Gray;133900;Продавец R.Mobile;6 Гб;128Гб
Apple iPhone 8 64Gb Space Gray;159000;Elit Tel;2 Гб;64Гб
Xiaomi Mi 10 Lite 5G 6/128Gb Cosmic Gray;121973;MobileTown;6 Гб;128Гб
Apple iPhone 11 Pro 64Gb Silver;350403;MobileTown;6 Гб;64Гб
Apple iPhone 11 64Gb White;279288;MobileTown;4 Гб;64Гб
Xiaomi Mi Note 10 Lite 6/64Gb Glacier White;135000;mobitron;6 Гб;64Гб
Meizu M6 Note 3/16Gb Black;55000;mobitron;null;32Гб
Apple iPhone 11 Pro Max 256Gb (2 SIM) Space Gray;545000;mobitron;6 Гб;256Гб
Apple iPhone X 64Gb;321000;mobitron;3 Гб;64Гб
Apple iPhone 12 Pro Max 128Gb Silver;502000;Technosale;6 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Gold;472869;Great Choice;6 Гб;128Гб
Samsung Galaxy S21 5G 8/128Gb Phantom Gray;274965;Great Choice;8 Гб;128Гб
Apple iPhone 11 64Gb White;267439;Tsmart.kz;4 Гб;64Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Glacier Blue;132945;Eva Phone;8 Гб;128Гб
Samsung Galaxy A52 4/128Gb Awesome Violet;134984;Great Choice;4 Гб;128Гб
