title;price;seller;ram;memory
Google PIXEL 4A 6GB/128GB, JUST BLACK;196000;MacStore;6 Гб;128Гб
Apple iPhone 11 128Gb Purple;288000;millennium-phone;4 Гб;128Гб
Apple iPhone 12 Pro 128Gb;438000;Продавец Zhanna_16;null;128Гб
Xiaomi Redmi Note 9 Pro Max 4/64Gb Glacier White;94000;RM-Smart.Technology;4 Гб;64Гб
BQ BQ-6042L Magic E Ultraviolet;37190;TechPlaza;2 Гб;32Гб
Samsung Galaxy S10 Lite 6/128Gb Prism White;277890;TechPlaza;6 Гб;128Гб
Apple iPhone 11 64Gb Black;268800;millennium-phone;4 Гб;64Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Black;440000;Technosale;12 Гб;256Гб
Apple iPhone 12 Mini 64Gb Red;344930;Zitrone;6 Гб;64Гб
Apple iPhone 11 Pro 64Gb;343000;Продавец Aruka;6 Гб;64Гб
Apple iPhone 11 Pro 64Gb Silver;354750;MobilePhones;6 Гб;64Гб
Apple iPhone 11 Pro 64Gb Space Gray;354750;MobilePhones;6 Гб;64Гб
Samsung Galaxy A52 4/128Gb Awesome Black;138900;Продавец Aruka;4 Гб;128Гб
Samsung Galaxy A12 4/64Gb Black;71900;millennium-phone;4 Гб;64Гб
Apple iPhone 7 32Gb Black;120000;millennium-phone;2 Гб;32Гб
