title;price;seller;ram;memory
Apple iPhone 12 Pro 256Gb Silver;468900;M-TELL;6 Гб;256Гб
Apple iPhone 12 Pro 256Gb Pacific Blue;468900;M-TELL;6 Гб;256Гб
Apple iPhone 12 Pro 256Gb Graphite;468900;M-TELL;6 Гб;256Гб
Apple iPhone 11 64Gb Purple;267400;M-TELL;4 Гб;64Гб
Apple iPhone 11 64Gb Black;267400;M-TELL;4 Гб;64Гб
Apple iPhone 11 64Gb Green;267400;M-TELL;4 Гб;64Гб
Apple iPhone 12 Pro Max 256Gb Silver;513900;M-TELL;6 Гб;256Гб
Apple iPhone 12 Pro Max 256Gb Graphite;513900;M-TELL;6 Гб;256Гб
Apple iPhone 12 Pro 512Gb Graphite;561400;M-TELL;6 Гб;512Гб
Apple iPhone 12 Mini 128Gb Black;336400;M-TELL;6 Гб;128Гб
Apple iPhone 12 Pro 512Gb Gold;561400;M-TELL;6 Гб;512Гб
Xiaomi Redmi 9A 2/32Gb Granite Gray;42450;RM-Smart.Technology;2 Гб;32Гб
Samsung Galaxy A31 4/64Gb;76269;RM-Smart.Technology;null;64Гб
Samsung Galaxy A21s 3/32Gb;69975;RM-Smart.Technology;3 Гб;32Гб
Samsung Galaxy S20 8/128Gb Cosmic Grey;225655;RM-Smart.Technology;8 Гб;128Гб
