title;price;seller;ram;memory
Samsung Galaxy Note20 Ultra 8/256Gb Mystic Black;429990;iMobi;8 Гб;256Гб
Samsung Galaxy S20 FE 5G 6/128Gb Cloud Mint;194990;iMobi;6 Гб;128Гб
Samsung Galaxy S21 5G 8/128Gb Pink;279990;iMobi;8 Гб;128Гб
Samsung Galaxy S10 Lite 6/128Gb;169895;Kansha.kz;6 Гб;128Гб
Xiaomi Redmi Note 9 4/128Gb Polar White;75225;Eva Phone;4 Гб;128Гб
Samsung Galaxy A32 5G 4/64Gb Awesome Black;92315;Kansha.kz;4 Гб;64Гб
Xiaomi Mi 11 Lite 8/128Gb Boba Black;139980;Kansha.kz;8 Гб;128Гб
Xiaomi Mi 10T Lite 5G 6/128Gb Pearl Gray;136450;Kansha.kz;6 Гб;128Гб
Xiaomi Redmi Note 10 Pro 6/128Gb Glacier Blue;131495;Kansha.kz;6 Гб;128Гб
Xiaomi Poco M3 4/64Gb Cool Blue;58490;Eva Phone;4 Гб;64Гб
Xiaomi Redmi 9 3/32Gb Sunset Purple;51495;Eva Phone;3 Гб;32Гб
Xiaomi Redmi Note 9 3/64Gb Onyx Black;64499;Eva Phone;3 Гб;64Гб
Xiaomi Poco M3 4/128Gb Black;68455;Eva Phone;4 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;132945;Eva Phone;8 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;125455;Eva Phone;6 Гб;128Гб
