title;price;seller;ram;memory
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;145000;Gmobile;8 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Glacier Blue;132960;RM-Smart.Technology;8 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;132950;Kansha.kz;8 Гб;128Гб
Apple iPhone 12 Pro 128Gb Graphite;431000;millennium-phone;6 Гб;128Гб
Apple iPhone 12 Pro Max 256Gb Pacific Blue;513899;RM-Smart.Technology;6 Гб;256Гб
Apple iPhone 12 Pro Max 256Gb Graphite;513995;ABC-Mobile;6 Гб;256Гб
Apple iPhone 12 Pro Max 128Gb Pacific Blue;482000;Продавец Aruka;6 Гб;512Гб
Apple iPhone 11 128Gb Black;287375;ABC-Mobile;4 Гб;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Vintage Bronze;139990;MobilePhones;8 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Graphite;472885;ABC-Mobile;6 Гб;128Гб
Apple iPhone 11 Pro 64Gb;342990;Kansha.kz;null;64Гб
Apple iPhone 12 Pro Max 256Gb Pacific Blue;513900;M-TELL;6 Гб;256Гб
Apple iPhone 12 Pro Max 128Gb Graphite;473000;millennium-phone;6 Гб;128Гб
Apple iPhone 11 Pro 64Gb Midnight Green;342990;Kansha.kz;6 Гб;64Гб
Apple iPhone 12 Pro 128Gb Graphite;430865;ABC-Mobile;6 Гб;128Гб
