title;price;seller;ram;memory
Meizu M10 2/32Gb Blue;52990;Белый Ветер;2 Гб;32Гб
Meizu M10 2/32Gb Purplish Red;52990;Белый Ветер;2 Гб;32Гб
Xiaomi Poco X3 NFC 6/128Gb Shadow Gray;101499;Great Choice;6 Гб;128Гб
Apple iPhone 12 Mini 64Gb;316000;Продавец Zhanna_16;null;64Гб
Google Pixel 5 8/128Gb Just Black;362000;MacStore;8 Гб;128Гб
Apple iPhone X 64Gb Space Gray;226300;millennium-phone;3 Гб;64Гб
Apple iPhone 11 64Gb Green;268800;millennium-phone;4 Гб;64Гб
Apple iPhone 11 128Gb Purple;292000;Mobilion;4 Гб;128Гб
Apple iPhone 7 Plus 32Gb Silver;90000;Pintel;3 Гб;32Гб
Apple iPhone 11 64Gb;278000;Продавец Zhanna_16;4 Гб;64Гб
Apple iPhone 12 Pro 128Gb Graphite;436000;Elit Tel;6 Гб;128Гб
Xiaomi Mi 11 Lite 8/128Gb Boba Black;136000;Elit Tel;8 Гб;128Гб
Meizu C9 PRO 32Gb Black;35900;mobitron;3 Гб;32Гб
Apple iPhone 11 Pro Max 256Gb (2 SIM) Silver;360000;Продавец Pashutich;6 Гб;256Гб
Apple iPhone 6s Space Gray MN0W2RU/A;167166;Apl Tech;null;null
