title;price;seller;ram;memory
Samsung Galaxy A52 8/256Gb Awesome Violet;155998;Great Choice;8 Гб;256Гб
Apple iPhone 12 Pro Max 128Gb Graphite;472900;M-TELL;6 Гб;128Гб
Xiaomi Poco X3 NFC 6/128Gb Shadow Gray;101465;Eva Phone;6 Гб;128Гб
Samsung Galaxy S10 Lite 6/128Gb Prism Black;267300;Fast Technology;6 Гб;128Гб
Apple iPhone 7 32Gb Rose Gold;135450;AllBest.kz;2 Гб;32Гб
Xiaomi Redmi Note 9 Pro 6/128Gb Green;110080;AllBest.kz;null;null
Apple iPhone 12 Mini 128Gb Black;336469;Great Choice;6 Гб;128Гб
BQ BQ-1846 One Power Black-Blue;4252;Оптовый интернет магазин TOPSTO;null;32Гб
BQ BQ-1846 One Power Black-Orange;4252;Оптовый интернет магазин TOPSTO;null;32Гб
Samsung Galaxy A72 6/128Gb Awesome White;167000;Technosale;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Black;404990;iMobi;12 Гб;128Гб
BQ BQ-6042L Magic E Wine Red;37190;TechPlaza;2 Гб;32Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Black;403000;millennium-phone;12 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Silver;403000;millennium-phone;12 Гб;128Гб
Apple iPhone 6S 32Gb Space Gray;155730;Zitrone;2 Гб;16Гб
