title;price;seller;ram;memory
Apple iPhone 7 32Gb Black;54990;Продавец Hitman3331;2 Гб;32Гб
Samsung Galaxy A12 3/32Gb Black;61000;Gmobile;3 Гб;32Гб
Apple iPhone 12 Mini 128Gb Black;339000;Gmobile;6 Гб;128Гб
Samsung Galaxy A52 4/128Gb Awesome Black;145000;Gmobile;4 Гб;128Гб
Apple iPhone 12 Pro Max 256Gb Graphite;526000;Gmobile;6 Гб;256Гб
Apple iPhone 11 128Gb Green;289590;BuyShop;4 Гб;128Гб
Apple iPhone 11 64Gb White;271330;Eva Phone;4 Гб;64Гб
Apple iPhone 12 128Gb Blue;381000;Elit Tel;6 Гб;128Гб
Apple iPhone 8 64Gb Space Gray;159000;millennium-phone;2 Гб;64Гб
Apple iPhone 6S 32Gb Silver;190369;IT Products;2 Гб;16Гб
Xiaomi Redmi Note 9 3/64Gb Polar White;73080;IT Products;3 Гб;64Гб
Samsung Galaxy A52 4/128Gb Awesome Black;136000;Продавец Janara89;4 Гб;128Гб
OnePlus Nord N10 5G 6/128Gb Midnight Ice;164900;mobitron;6 Гб;128Гб
Apple iPhone 11 128Gb Red;287394;Tsmart.kz;4 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Black;400955;Kansha.kz;12 Гб;128Гб
