title;price;seller;ram;memory
BQ BQ-1848 Step+ Black-Green;4190;ТОО Flexcom;null;32Гб
Xiaomi Poco X3 Pro 6/128Gb Metal Bronze;124055;Kansha.kz;6 Гб;128Гб
Samsung Galaxy S20 FE 6/128Gb Cloud Lavender;193730;RM-Smart.Technology;6 Гб;128Гб
Samsung Galaxy A52 4/128Gb Awesome Black;134989;RM-Smart.Technology;4 Гб;128Гб
BQ BQ-1848 Step+ Black;4020;ID Proftech;null;32Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Vintage Bronze;146990;DropshopAlmaty;8 Гб;128Гб
Xiaomi Redmi Note 10 Pro 6/128Gb Onyx Gray;139000;Elit Tel;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/256Gb Phantom Black;414490;Kansha.kz;12 Гб;256Гб
Samsung Galaxy A21s 3/32Gb White;69970;RM-Smart.Technology;3 Гб;32Гб
Samsung Galaxy A12 3/32Gb Red;58895;RM-Smart.Technology;3 Гб;32Гб
BQ BQ-1848 Step+ Black-Green;4087;Оптовый интернет магазин TOPSTO;null;32Гб
Apple iPhone 12 Mini 64Gb Black;339990;NurmobileKZ;6 Гб;64Гб
Apple iPhone 11 64Gb Black;237000;Pintel;4 Гб;64Гб
Xiaomi Redmi Note 10 Pro 6/128Gb Glacier Blue;131499;Great Choice;6 Гб;128Гб
Xiaomi Poco X3 Pro 8/256Gb Frost Blue;138890;RM-Smart.Technology;8 Гб;256Гб
