title;price;seller;ram;memory
Samsung Galaxy S10 Lite 6/128Gb Prism Black;255150;ANTS;6 Гб;128Гб
Samsung Galaxy A12 4/64Gb Red;74996;ANTS;4 Гб;64Гб
Apple iPhone 12 128Gb Black;377000;Продавец Aruka;6 Гб;64Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray;103990;Tsmart.kz;6 Гб;64Гб
Apple iPhone 7 128Gb Rose Gold;189990;Tsmart.kz;2 Гб;128Гб
Apple iPhone 7 32Gb;115000;millennium-phone;2 Гб;32Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;139900;Kansha.kz;6 Гб;128Гб
Apple iPhone 11 64Gb Black;279000;Gmobile;4 Гб;64Гб
Apple iPhone 12 128Gb Black;380000;Gmobile;6 Гб;128Гб
Xiaomi Poco X3 NFC 6/64Gb Shadow Gray;97000;Gmobile;6 Гб;64Гб
Xiaomi Redmi 9 4/64Gb Ocean Green;41000;Pintel;4 Гб;64Гб
Apple iPhone 11 128Gb White;289830;Eva Phone;4 Гб;128Гб
Apple iPhone 11 64Gb Yellow;274990;BuyShop;4 Гб;64Гб
Apple iPhone 11 Pro 64Gb Space Gray;320000;Pintel;6 Гб;64Гб
Apple iPhone 11 128Gb Black;290000;Elit Tel;4 Гб;128Гб
