title;price;seller;ram;memory
Samsung Galaxy S10 Plus 8/128Gb Prism White;400657;Fast Technology;8 Гб;128Гб
Apple iPhone 12 Pro Max 128Gb Graphite;472980;BuyShop;6 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;139090;TechPlaza;6 Гб;128Гб
Samsung Galaxy A31 4/64Gb Prism Crush Black;82890;TechPlaza;4 Гб;64Гб
Xiaomi Mi 10T Lite 5G 6/128Gb Pearl Gray;139900;i-Store;6 Гб;128Гб
Xiaomi Redmi Note 8 Pro 6/128Gb Blue;102900;i-Store;6 Гб;128Гб
Apple iPhone 11 Pro Max 512Gb Silver;924307;Apl Tech;6 Гб;512Гб
Oppo A12 3/32Gb Blue;45469;RM-Smart.Technology;3 Гб;32Гб
OnePlus Nord 12/256Gb Blue Marble;180600;AllBest.kz;12 Гб;256Гб
Apple iPhone 11 Pro Max 256Gb Midnight Green;507400;AllBest.kz;6 Гб;256Гб
Google PIXEL 5 128GB 5G Black;322500;AllBest.kz;null;null
Samsung Galaxy A11 2/32Gb Red;63640;AllBest.kz;2 Гб;32Гб
Samsung Galaxy A80 8/128Gb Silver;210700;AllBest.kz;8 Гб;128Гб
Xiaomi Mi 10T 5G 8/128Gb Lunar Silver;178000;RM-Smart.Technology;8 Гб;128Гб
Xiaomi Mi 10T 5G 8/128Gb Cosmic Black;178000;RM-Smart.Technology;8 Гб;128Гб
