title;price;seller;ram;memory
Samsung Galaxy A12 3/32Gb Blue;58895;RM-Smart.Technology;3 Гб;32Гб
TeXet TM-208 Black-Red;3841;Оптовый интернет магазин TOPSTO;null;32Гб
BQ BQ-1848 Step+ Black;3518;Оптовый интернет магазин TOPSTO;null;32Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Vintage Bronze;132969;Tsmart.kz;8 Гб;128Гб
Apple iPhone 12 Mini 64Gb Black;314990;Great Choice;6 Гб;64Гб
TeXet TM-120 Black-Red;3220;Оптовый интернет магазин TOPSTO;null;null
Samsung Galaxy A72 8/256Gb Awesome Black;190000;Technosale;8 Гб;256Гб
Meizu M10 3/32Gb Blue;50790;TechPlaza;3 Гб;32Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Glacier White;103990;Tsmart.kz;6 Гб;64Гб
BQ 2440black+blue BQ-2440black+blue;4229;Apl Tech;null;null
Meizu M10 2/32Gb Purplish Red;52822;Fast Technology;2 Гб;32Гб
Meizu M10 3/32Gb Purplish Red;48038;Оптовый интернет магазин TOPSTO;3 Гб;32Гб
Meizu M10 3/32Gb Black;46095;Оптовый интернет магазин TOPSTO;3 Гб;32Гб
BQ BQ-1846 One Power White-Red;4252;Оптовый интернет магазин TOPSTO;null;32Гб
Meizu M10 2/32Gb Blue;51390;TechPlaza;2 Гб;32Гб
