title;price;seller;ram;memory
Samsung Galaxy Note10 Plus 12/256Gb Aura Black;291000;millennium-phone;12 Гб;256Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;131000;Продавец R.Mobile;6 Гб;128Гб
Xiaomi Redmi 9A 2/32Gb Granite Gray;46740;WinPlus;2 Гб;32Гб
Xiaomi Mi 11 Lite 6/128Gb Bubblegum Blue;125500;DropshopAlmaty;6 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb Boba Black;125500;DropshopAlmaty;6 Гб;128Гб
Xiaomi Poco X3 Pro 6/128Gb Phantom Black;124500;DropshopAlmaty;6 Гб;128Гб
Xiaomi Mi 11 Lite 6/128Gb;125490;Dropshop.Astana;null;null
Xiaomi Redmi Note 9 3/64Gb Forest Green;65000;Gmobile;3 Гб;64Гб
Samsung Galaxy S10 Lite 6/128Gb Prism Black;170000;Gmobile;6 Гб;128Гб
Xiaomi Mi 10T 5G 6/128Gb Cosmic Black;170000;Gmobile;6 Гб;128Гб
Xiaomi Mi 10T 5G 8/128Gb Lunar Silver;90000;Pintel;8 Гб;128Гб
Xiaomi Redmi Note 8 6/128Gb Space Black;47000;Pintel;6 Гб;128Гб
Xiaomi Redmi 9A 2/32Gb Granite Gray;33000;Pintel;2 Гб;32Гб
Apple iPhone 7 32Gb;75200;Pintel;2 Гб;32Гб
Apple iPhone 11 64Gb Red;274990;BuyShop;4 Гб;64Гб
