title;price;seller;ram;memory
Apple iPhone 11 Pro Max 256Gb Space Gray;510000;Продавец Janara89;6 Гб;256Гб
Samsung Galaxy A52 4/128Gb Awesome Blue;137500;LuckyPhone.kz;4 Гб;128Гб
Xiaomi Mi 10 Lite 5G 6/128Gb Aurora Blue;120500;LuckyPhone.kz;6 Гб;128Гб
Xiaomi Mi Note 10 Lite 8/128Gb Midnight Black;139000;RM-Smart.Technology;8 Гб;128Гб
Xiaomi Poco X3 Pro 8/128Gb Phantom Black;124100;RM-Smart.Technology;8 Гб;128Гб
Google Pixel 4a 5G 128GB Just Black;245000;MacStore;null;128Гб
Xiaomi Redmi Note 10 Pro 8/128Gb Onyx Gray;144990;Technosale;8 Гб;128Гб
Apple iPhone 11 Pro 64Gb Silver;342989;Tsmart.kz;6 Гб;64Гб
Apple Аксессуар для iPhone APPLE MRGE2ZM/A iPhone X Leather Folio -;50836;ideas kz;null;null
Xiaomi Redmi Note 10 Pro 6/128Gb Vintage Bronze;139995;Fast Technology;6 Гб;128Гб
Samsung Galaxy S21 Ultra 5G 12/128Gb Phantom Black;403700;M-TELL;12 Гб;128Гб
Samsung Galaxy A01 Core 1/16Gb Red;32990;TVOЯ TEXNIKA;1 Гб;16Гб
Philips Xenium E109 Black;9990;TVOЯ TEXNIKA;null;32Гб
Samsung Galaxy S10 Lite 6/128Gb Prism Black;250800;LS Computers;6 Гб;128Гб
Xiaomi Redmi Note 9S 4/64Gb Aurora Blue;91000;Tsmart.kz;4 Гб;64Гб
